
### Contact encoders (Experiment C)

| run | split | frame_recall | frame_precision | slot_recall | d_mae | point_err_median_pct_min_dim | normal_deg_median | cardinality_acc | ece | first_impact_err_steps_median | first_impact_err_steps_p99 | first_impact_missed |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| expD_r2_learned_frozen_point | test/gt | 1.192e-07 | 0.06521 | 0.3707 | 150.7 | 0.4712 | 4.571 | 0.4584 | 7.936 | 0.01903 | 34.5 | 0.276 | 0 |
| expD_r2_learned_frozen_point | test/analytic | 1.192e-07 | 0.04669 | 0.1532 | 87.67 | 0.2712 | 2.607 | 0.4628 | 7.482 | 0.00843 | 23.5 | 0.009597 | 0 |
| expD_r2_learned_frozen_point | test/learned | 0.0008521 | 0.04823 | 0.1765 | 94.52 | 0.3502 | 2.831 | 2.317 | 11.47 | 0.03112 | 83.5 | 0.01356 | 0 |
| expD_r2_learned_frozen_point | test_geometry/gt | 1.192e-07 | 0.06287 | 0.2914 | 152.6 | 0.3719 | 4.591 | 0.4726 | 9.206 | 0.007755 | 39 | 0.2537 | 0 |
| expD_r2_learned_frozen_point | test_geometry/analytic | 1.192e-07 | 0.05281 | 0.1123 | 86.65 | 0.2345 | 2.877 | 0.4616 | 8.956 | 0.01152 | 52.5 | 0.01042 | 0 |
| expD_r2_learned_frozen_point | test_geometry/learned | 0.0007442 | 0.04338 | 0.1073 | 81.15 | 0.2729 | 2.889 | 2.163 | 15.87 | 0.02541 | 67.5 | 0.01714 | 0 |
| expE_joint | val/learned | 8.463e-05 | 0.04388 | 0.1195 | 91.77 | 0.2685 | 2.858 | 0.5885 | 7.966 | 0.0119 | 23.5 | 0.002465 | 0 |
| expE_joint | val/analytic | 9.686e-08 | 0.5658 | 5.084 | 142.7 | 5.031 | 22.5 | 3.641 | 18.31 | 0.01418 | 95 | 5.099 | 38.63 |
| expE_joint | test/learned | 7.039e-05 | 0.05559 | 0.1648 | 90.48 | 0.312 | 2.809 | 0.5268 | 5.959 | 0.0142 | 36.5 | 0.002501 | 0.001653 |
| expE_joint | test/analytic | 1.192e-07 | 0.7862 | 5.515 | 129.4 | 4.851 | 23.61 | 3.576 | 15.13 | 0.01246 | 89 | 5.467 | 53.09 |
