NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode explicit --out runs/expD_learned_frozen --steps 30000 --eval-every 10000 --workers 2 --encoder-ckpt runs/expC_patch/final.pt --eval-contact-sources gt,analytic,learned
loaded split train: 1189 episodes in 13.6s
loaded split val: 255 episodes in 2.9s
loaded split test: 255 episodes in 2.9s
loaded split test_geometry: 301 episodes in 3.4s
transition model contact_mode=explicit params=640582
step 16900 loss 0.04097 (1-step 0.04097) 359s
step 17000 loss 0.06552 (1-step 0.06552) 361s
step 17100 loss 0.05020 (1-step 0.05020) 363s
step 17200 loss 0.04503 (1-step 0.04503) 365s
step 17300 loss 0.04534 (1-step 0.04534) 368s
step 17400 loss 0.04850 (1-step 0.04850) 370s
step 17500 loss 0.04815 (1-step 0.04815) 372s
step 17600 loss 0.05400 (1-step 0.05400) 374s
step 17700 loss 0.05262 (1-step 0.05262) 376s
step 17800 loss 0.05630 (1-step 0.05630) 378s
step 17900 loss 0.05419 (1-step 0.05419) 380s
step 18000 loss 0.05539 (1-step 0.05539) 382s
step 18100 loss 0.06139 (1-step 0.06139) 384s
step 18200 loss 0.04604 (1-step 0.04604) 385s
step 18300 loss 0.04281 (1-step 0.04281) 388s
step 18400 loss 0.04020 (1-step 0.04020) 390s
step 18500 loss 0.03992 (1-step 0.03992) 391s
step 18600 loss 0.03828 (1-step 0.03828) 393s
step 18700 loss 0.06650 (1-step 0.06650) 395s
step 18800 loss 0.02927 (1-step 0.02927) 397s
step 18900 loss 0.03186 (1-step 0.03186) 399s
step 19000 loss 0.04564 (1-step 0.04564) 401s
step 19100 loss 0.04102 (1-step 0.04102) 403s
step 19200 loss 0.04331 (1-step 0.04331) 405s
step 19300 loss 0.03762 (1-step 0.03762) 407s
step 19400 loss 0.05080 (1-step 0.05080) 409s
step 19500 loss 0.05180 (1-step 0.05180) 411s
step 19600 loss 0.10479 (1-step 0.10479) 413s
step 19700 loss 0.03484 (1-step 0.03484) 414s
step 19800 loss 0.02872 (1-step 0.02872) 416s
step 19900 loss 0.03742 (1-step 0.03742) 418s
step 20000 loss 0.03891 (1-step 0.03891) 420s
  [val one-step] dv_err_mean=0.005081 dw_err_mean=0.11 dv_err_far_free=3.737e-08 dw_err_far_free=0.00514 dv_err_near_contact=1.692e-08 dw_err_near_contact=0.02431 dv_err_first_impact=0.2931 dw_err_first_impact=4.009 dv_err_contact=0.006613 dw_err_contact=0.1401 dv_err_rebound_repeat=0.04387 dw_err_rebound_repeat=1.014 dv_err_resting=0.003243 dw_err_resting=0.1026
step 20100 loss 0.03485 (1-step 0.03485) 422s
step 20200 loss 0.03815 (1-step 0.03815) 424s
step 20300 loss 0.04870 (1-step 0.04870) 426s
