NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder patch --out runs/expC_patch --steps 8000 --eval-every 2000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 91.6s
loaded split val: 255 episodes in 18.9s
loaded split test: 255 episodes in 22.5s
loaded split test_geometry: 301 episodes in 26.6s
encoder=patch params=660769
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 5100 loss 0.0637 active=0.029 d=0.000 p_box=0.001 p_ground=0.083 normal=0.000 cardinality=0.348 uncertainty=-2.945 (186s)
step 5200 loss 0.0746 active=0.031 d=0.000 p_box=0.001 p_ground=0.081 normal=0.000 cardinality=0.391 uncertainty=-2.956 (189s)
step 5300 loss 0.1243 active=0.030 d=0.000 p_box=0.001 p_ground=0.087 normal=0.000 cardinality=0.430 uncertainty=-2.961 (192s)
step 5400 loss 0.0300 active=0.030 d=0.000 p_box=0.001 p_ground=0.075 normal=0.000 cardinality=0.356 uncertainty=-2.947 (195s)
step 5500 loss -0.0129 active=0.027 d=0.000 p_box=0.001 p_ground=0.067 normal=0.000 cardinality=0.373 uncertainty=-2.960 (198s)
step 5600 loss 0.0307 active=0.030 d=0.000 p_box=0.001 p_ground=0.074 normal=0.000 cardinality=0.369 uncertainty=-2.948 (201s)
step 5700 loss 0.0705 active=0.030 d=0.000 p_box=0.001 p_ground=0.079 normal=0.000 cardinality=0.408 uncertainty=-2.960 (204s)
step 5800 loss 0.0248 active=0.028 d=0.000 p_box=0.000 p_ground=0.075 normal=0.000 cardinality=0.368 uncertainty=-2.965 (208s)
step 5900 loss -0.0070 active=0.028 d=0.000 p_box=0.000 p_ground=0.068 normal=0.000 cardinality=0.369 uncertainty=-2.965 (210s)
step 6000 loss 0.0578 active=0.033 d=0.001 p_box=0.001 p_ground=0.070 normal=0.000 cardinality=0.454 uncertainty=-2.960 (214s)
  [val] slot_precision=0.8956480622291565 slot_recall=0.9218816161155701 frame_precision=0.9634979963302612 frame_recall=0.8756508231163025 d_mae=0.000909185444470495 d_p95=0.0021977699361741543 point_err_median_pct_min_dim=0.010482694022357464 point_err_p95_pct_min_dim=0.14257217943668365 ground_point_err_median_pct_min_dim=4.497708320617676 normal_deg_median=0.5403753519058228 normal_deg_p95=1.0354094505310059 cardinality_acc=0.8896496891975403 count_acc=0.8259492516517639 ece=0.10184329579985633 n_frames=148382 uncertainty_error_corr=-0.30514554809965216
step 6100 loss -0.0431 active=0.028 d=0.000 p_box=0.000 p_ground=0.061 normal=0.000 cardinality=0.373 uncertainty=-2.964 (228s)
step 6200 loss -0.0121 active=0.028 d=0.000 p_box=0.001 p_ground=0.069 normal=0.000 cardinality=0.353 uncertainty=-2.970 (231s)
step 6300 loss -0.0175 active=0.030 d=0.000 p_box=0.000 p_ground=0.066 normal=0.000 cardinality=0.363 uncertainty=-2.969 (234s)
step 6400 loss 0.0161 active=0.030 d=0.001 p_box=0.000 p_ground=0.066 normal=0.000 cardinality=0.426 uncertainty=-2.972 (237s)
step 6500 loss -0.0782 active=0.029 d=0.000 p_box=0.000 p_ground=0.057 normal=0.000 cardinality=0.347 uncertainty=-2.974 (241s)
step 6600 loss -0.0481 active=0.028 d=0.000 p_box=0.000 p_ground=0.060 normal=0.000 cardinality=0.373 uncertainty=-2.971 (244s)
step 6700 loss -0.0627 active=0.027 d=0.000 p_box=0.000 p_ground=0.059 normal=0.000 cardinality=0.359 uncertainty=-2.974 (247s)
step 6800 loss -0.0476 active=0.028 d=0.000 p_box=0.000 p_ground=0.063 normal=0.000 cardinality=0.346 uncertainty=-2.969 (250s)
step 6900 loss -0.0667 active=0.027 d=0.000 p_box=0.001 p_ground=0.060 normal=0.000 cardinality=0.338 uncertainty=-2.975 (253s)
step 7000 loss -0.0687 active=0.029 d=0.000 p_box=0.000 p_ground=0.055 normal=0.000 cardinality=0.375 uncertainty=-2.974 (256s)
step 7100 loss -0.1171 active=0.025 d=0.000 p_box=0.000 p_ground=0.056 normal=0.000 cardinality=0.290 uncertainty=-2.974 (259s)
step 7200 loss -0.1120 active=0.027 d=0.000 p_box=0.000 p_ground=0.055 normal=0.000 cardinality=0.300 uncertainty=-2.976 (262s)
step 7300 loss -0.1251 active=0.026 d=0.000 p_box=0.000 p_ground=0.050 normal=0.000 cardinality=0.330 uncertainty=-2.976 (265s)
step 7400 loss -0.0717 active=0.028 d=0.000 p_box=0.000 p_ground=0.057 normal=0.000 cardinality=0.363 uncertainty=-2.974 (268s)
step 7500 loss -0.1093 active=0.027 d=0.000 p_box=0.000 p_ground=0.051 normal=0.000 cardinality=0.349 uncertainty=-2.976 (271s)
step 7600 loss -0.1276 active=0.026 d=0.000 p_box=0.001 p_ground=0.050 normal=0.000 cardinality=0.326 uncertainty=-2.975 (274s)
step 7700 loss -0.1558 active=0.026 d=0.000 p_box=0.000 p_ground=0.047 normal=0.000 cardinality=0.304 uncertainty=-2.979 (277s)
step 7800 loss -0.1288 active=0.026 d=0.000 p_box=0.000 p_ground=0.054 normal=0.000 cardinality=0.285 uncertainty=-2.977 (280s)
step 7900 loss -0.1438 active=0.026 d=0.001 p_box=0.000 p_ground=0.048 normal=0.000 cardinality=0.313 uncertainty=-2.978 (284s)
step 8000 loss 0.3656 active=0.027 d=0.000 p_box=0.011 p_ground=0.084 normal=0.000 cardinality=0.345 uncertainty=-1.674 (287s)
  [val] slot_precision=0.9124448299407959 slot_recall=0.9174242615699768 frame_precision=0.9696590304374695 frame_recall=0.8616207838058472 d_mae=0.0008696048171259463 d_p95=0.0021089762449264526 point_err_median_pct_min_dim=0.006748449057340622 point_err_p95_pct_min_dim=0.10240241140127182 ground_point_err_median_pct_min_dim=4.319894313812256 normal_deg_median=0.44294002652168274 normal_deg_p95=0.9123671054840088 cardinality_acc=0.8984310626983643 count_acc=0.8351349830627441 ece=0.10167087128443042 n_frames=148382 uncertainty_error_corr=-0.3080677139381851
[val] slot_precision=0.9124448299407959 slot_recall=0.9174242615699768 frame_precision=0.9696590304374695 frame_recall=0.8616207838058472 d_mae=0.0008696048171259463 d_p95=0.0021089762449264526 point_err_median_pct_min_dim=0.006748449057340622 point_err_p95_pct_min_dim=0.10240241140127182 ground_point_err_median_pct_min_dim=4.319894313812256 normal_deg_median=0.44294002652168274 normal_deg_p95=0.9123671054840088 cardinality_acc=0.8984310626983643 count_acc=0.8351349830627441 ece=0.10167087128443042 n_frames=148382 uncertainty_error_corr=-0.3080677139381851 first_impact_err_steps_median=3.0 first_impact_err_steps_p99=498.69000000000034 first_impact_missed=0
[test] slot_precision=0.8939392566680908 slot_recall=0.8883400559425354 frame_precision=0.9616608619689941 frame_recall=0.8095225095748901 d_mae=0.0009964753407984972 d_p95=0.002571545075625181 point_err_median_pct_min_dim=0.005982513539493084 point_err_p95_pct_min_dim=0.08766588568687439 ground_point_err_median_pct_min_dim=4.307398796081543 normal_deg_median=0.3936629295349121 normal_deg_p95=0.8030217885971069 cardinality_acc=0.8810752630233765 count_acc=0.7953075766563416 ece=0.09550002074154582 n_frames=140694 uncertainty_error_corr=-0.22411362244650238 first_impact_err_steps_median=3.0 first_impact_err_steps_p99=417.0 first_impact_missed=0
[test_geometry] slot_precision=0.911867082118988 slot_recall=0.9253947138786316 frame_precision=0.9681414365768433 frame_recall=0.8764513731002808 d_mae=0.0009104935452342033 d_p95=0.0023031251039355993 point_err_median_pct_min_dim=0.00866465549916029 point_err_p95_pct_min_dim=0.42531341314315796 ground_point_err_median_pct_min_dim=4.765178203582764 normal_deg_median=0.39730095863342285 normal_deg_p95=0.8153879046440125 cardinality_acc=0.8965929746627808 count_acc=0.830852746963501 ece=0.10610787289372683 n_frames=142911 uncertainty_error_corr=-0.19297979147860916 first_impact_err_steps_median=1.0 first_impact_err_steps_p99=402.87000000000006 first_impact_missed=0
TRAIN_DONE
