NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder point --out runs/expC_point_30k --steps 30000 --batch 512 --eval-every 5000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 7.6s
loaded split val: 255 episodes in 1.7s
loaded split test: 255 episodes in 1.5s
loaded split test_geometry: 301 episodes in 1.9s
encoder=point params=557089
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 5000 loss 0.3893 active=0.040 d=0.000 p_box=0.001 p_ground=0.119 normal=0.000 cardinality=0.571 uncertainty=-2.892 (271s)
  [val] slot_precision=0.8881586790084839 slot_recall=0.8553690910339355 frame_precision=0.9586817622184753 frame_recall=0.7669479846954346 d_mae=0.0006118468008935452 d_p95=0.0012692539021372795 point_err_median_pct_min_dim=0.012800146825611591 point_err_p95_pct_min_dim=0.2339414358139038 ground_point_err_median_pct_min_dim=4.292501926422119 normal_deg_median=0.2376452088356018 normal_deg_p95=0.3958408236503601 cardinality_acc=0.816588282585144 count_acc=0.7792319655418396 ece=0.17247718713675084 n_frames=148382 uncertainty_error_corr=0.4120153644223549
step 5100 loss 0.2604 active=0.039 d=0.000 p_box=0.001 p_ground=0.101 normal=0.000 cardinality=0.501 uncertainty=-2.903 (293s)
step 5200 loss 0.3632 active=0.043 d=0.000 p_box=0.001 p_ground=0.116 normal=0.000 cardinality=0.554 uncertainty=-2.916 (298s)
step 5300 loss 0.4005 active=0.039 d=0.000 p_box=0.001 p_ground=0.124 normal=0.000 cardinality=0.565 uncertainty=-2.924 (303s)
step 5400 loss 0.3019 active=0.038 d=0.000 p_box=0.001 p_ground=0.102 normal=0.000 cardinality=0.594 uncertainty=-2.927 (308s)
step 5500 loss 0.1967 active=0.037 d=0.000 p_box=0.001 p_ground=0.092 normal=0.000 cardinality=0.492 uncertainty=-2.928 (314s)
step 5600 loss 0.2491 active=0.037 d=0.000 p_box=0.001 p_ground=0.099 normal=0.000 cardinality=0.530 uncertainty=-2.935 (319s)
step 5700 loss 0.3849 active=0.038 d=0.000 p_box=0.001 p_ground=0.128 normal=0.000 cardinality=0.502 uncertainty=-2.939 (324s)
step 5800 loss 0.1051 active=0.037 d=0.000 p_box=0.001 p_ground=0.075 normal=0.000 cardinality=0.475 uncertainty=-2.940 (330s)
