NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_contact.py --data data/pilot1b --encoder point --out runs/expC_point --steps 8000 --eval-every 2000 --max-eval-episodes 120 --workers 2
loaded split train: 1189 episodes in 103.1s
loaded split val: 255 episodes in 20.4s
loaded split test: 255 episodes in 22.2s
loaded split test_geometry: 301 episodes in 27.0s
encoder=point params=557089
train category counts: {'far_free': 479239, 'near_contact': 183323, 'first_impact': 5945, 'contact': 564239, 'rebound_repeat': 32828, 'resting': 200194}
step 4500 loss 0.5092 active=0.042 d=0.000 p_box=0.006 p_ground=0.133 normal=0.000 cardinality=0.523 uncertainty=-2.665 (542s)
step 4600 loss 0.4637 active=0.044 d=0.000 p_box=0.002 p_ground=0.129 normal=0.000 cardinality=0.562 uncertainty=-2.824 (552s)
step 4700 loss 0.4272 active=0.042 d=0.001 p_box=0.002 p_ground=0.124 normal=0.000 cardinality=0.558 uncertainty=-2.840 (563s)
step 4800 loss 0.3294 active=0.041 d=0.000 p_box=0.002 p_ground=0.111 normal=0.000 cardinality=0.505 uncertainty=-2.851 (573s)
step 4900 loss 0.5077 active=0.043 d=0.000 p_box=0.001 p_ground=0.137 normal=0.000 cardinality=0.581 uncertainty=-2.812 (584s)
step 5000 loss 0.3044 active=0.039 d=0.000 p_box=0.001 p_ground=0.104 normal=0.000 cardinality=0.523 uncertainty=-2.813 (594s)
step 5100 loss 0.3052 active=0.038 d=0.000 p_box=0.001 p_ground=0.115 normal=0.000 cardinality=0.431 uncertainty=-2.845 (605s)
step 5200 loss 0.1857 active=0.044 d=0.000 p_box=0.001 p_ground=0.083 normal=0.000 cardinality=0.506 uncertainty=-2.889 (615s)
step 5300 loss 0.3842 active=0.039 d=0.000 p_box=0.001 p_ground=0.122 normal=0.000 cardinality=0.539 uncertainty=-2.905 (626s)
step 5400 loss 0.1684 active=0.037 d=0.000 p_box=0.001 p_ground=0.083 normal=0.000 cardinality=0.492 uncertainty=-2.867 (636s)
step 5500 loss 0.1312 active=0.036 d=0.000 p_box=0.001 p_ground=0.082 normal=0.000 cardinality=0.438 uncertainty=-2.878 (647s)
step 5600 loss 0.0924 active=0.038 d=0.000 p_box=0.001 p_ground=0.069 normal=0.000 cardinality=0.484 uncertainty=-2.896 (657s)
step 5700 loss 0.0971 active=0.038 d=0.000 p_box=0.001 p_ground=0.069 normal=0.000 cardinality=0.502 uncertainty=-2.910 (668s)
step 5800 loss 0.4851 active=0.038 d=0.000 p_box=0.019 p_ground=0.094 normal=0.000 cardinality=0.463 uncertainty=-1.956 (678s)
step 5900 loss 0.1649 active=0.038 d=0.000 p_box=0.001 p_ground=0.082 normal=0.000 cardinality=0.503 uncertainty=-2.898 (689s)
step 6000 loss 0.1001 active=0.039 d=0.001 p_box=0.001 p_ground=0.069 normal=0.000 cardinality=0.511 uncertainty=-2.917 (699s)
  [val] slot_precision=0.878412127494812 slot_recall=0.8967626690864563 frame_precision=0.9564206004142761 frame_recall=0.8225513696670532 d_mae=0.0007491476717405021 d_p95=0.0018269503489136696 point_err_median_pct_min_dim=0.01123272255063057 point_err_p95_pct_min_dim=0.24348154664039612 ground_point_err_median_pct_min_dim=2.8105297088623047 normal_deg_median=0.29750335216522217 normal_deg_p95=0.5248574018478394 cardinality_acc=0.8542882800102234 count_acc=0.7991670370101929 ece=0.1570613405732107 n_frames=148382 uncertainty_error_corr=0.10317134135774098
step 6100 loss 0.0637 active=0.037 d=0.000 p_box=0.001 p_ground=0.065 normal=0.000 cardinality=0.486 uncertainty=-2.915 (742s)
step 6200 loss 0.0329 active=0.036 d=0.000 p_box=0.001 p_ground=0.061 normal=0.000 cardinality=0.466 uncertainty=-2.912 (752s)
step 6300 loss 0.0432 active=0.037 d=0.000 p_box=0.001 p_ground=0.063 normal=0.000 cardinality=0.471 uncertainty=-2.926 (763s)
step 6400 loss 0.0403 active=0.038 d=0.001 p_box=0.001 p_ground=0.057 normal=0.000 cardinality=0.514 uncertainty=-2.925 (774s)
step 6500 loss -0.0028 active=0.036 d=0.000 p_box=0.001 p_ground=0.056 normal=0.000 cardinality=0.454 uncertainty=-2.922 (784s)
step 6600 loss -0.0096 active=0.037 d=0.000 p_box=0.001 p_ground=0.053 normal=0.000 cardinality=0.462 uncertainty=-2.919 (795s)
step 6700 loss -0.0360 active=0.034 d=0.000 p_box=0.001 p_ground=0.051 normal=0.000 cardinality=0.441 uncertainty=-2.930 (805s)
step 6800 loss -0.0076 active=0.036 d=0.000 p_box=0.001 p_ground=0.053 normal=0.000 cardinality=0.467 uncertainty=-2.926 (816s)
