NVIDIA A100-SXM4-40GB, 580.159.04, 40960 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/fixed1a --contact-mode explicit --out runs/expB_oracle_explicit --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt,analytic
loaded split train: 420 episodes in 28.1s
loaded split val: 90 episodes in 6.8s
loaded split test: 90 episodes in 6.0s
loaded split test_geometry: 0 episodes in 0.0s
transition model contact_mode=explicit params=640582
step 23700 loss 0.00889 (1-step 0.00889) 540s
step 23800 loss 0.01154 (1-step 0.01154) 542s
step 23900 loss 0.10405 (1-step 0.10405) 544s
step 24000 loss 0.00653 (1-step 0.00653) 546s
step 24100 loss 0.00945 (1-step 0.00945) 548s
step 24200 loss 0.01125 (1-step 0.01125) 550s
step 24300 loss 0.02004 (1-step 0.02004) 552s
step 24400 loss 0.00747 (1-step 0.00747) 554s
step 24500 loss 0.01377 (1-step 0.01377) 556s
step 24600 loss 0.00694 (1-step 0.00694) 558s
step 24700 loss 0.02772 (1-step 0.02772) 560s
step 24800 loss 0.02539 (1-step 0.02539) 562s
step 24900 loss 0.00724 (1-step 0.00724) 564s
step 25000 loss 0.01004 (1-step 0.01004) 567s
step 25100 loss 0.01073 (1-step 0.01073) 569s
step 25200 loss 0.01057 (1-step 0.01057) 570s
step 25300 loss 0.03149 (1-step 0.03149) 572s
step 25400 loss 0.00971 (1-step 0.00971) 574s
step 25500 loss 0.00852 (1-step 0.00852) 576s
step 25600 loss 0.00737 (1-step 0.00737) 577s
step 25700 loss 0.00902 (1-step 0.00902) 579s
step 25800 loss 0.04606 (1-step 0.04606) 581s
step 25900 loss 0.01032 (1-step 0.01032) 583s
step 26000 loss 0.02184 (1-step 0.02184) 584s
step 26100 loss 0.01360 (1-step 0.01360) 586s
step 26200 loss 0.00854 (1-step 0.00854) 588s
step 26300 loss 0.00800 (1-step 0.00800) 590s
step 26400 loss 0.00723 (1-step 0.00723) 591s
step 26500 loss 0.00795 (1-step 0.00795) 593s
step 26600 loss 0.00830 (1-step 0.00830) 595s
step 26700 loss 0.01251 (1-step 0.01251) 597s
step 26800 loss 0.01087 (1-step 0.01087) 598s
step 26900 loss 0.01329 (1-step 0.01329) 600s
step 27000 loss 0.00748 (1-step 0.00748) 602s
step 27100 loss 0.01772 (1-step 0.01772) 604s
step 27200 loss 0.06350 (1-step 0.06350) 606s
step 27300 loss 0.01092 (1-step 0.01092) 607s
step 27400 loss 0.01047 (1-step 0.01047) 609s
step 27500 loss 0.00755 (1-step 0.00755) 611s
step 27600 loss 0.00813 (1-step 0.00813) 613s
step 27700 loss 0.00902 (1-step 0.00902) 616s
step 27800 loss 0.00736 (1-step 0.00736) 618s
step 27900 loss 0.00989 (1-step 0.00989) 620s
step 28000 loss 0.00773 (1-step 0.00773) 622s
step 28100 loss 0.00999 (1-step 0.00999) 624s
step 28200 loss 0.00674 (1-step 0.00674) 626s
step 28300 loss 0.01142 (1-step 0.01142) 628s
step 28400 loss 0.02100 (1-step 0.02100) 630s
step 28500 loss 0.00958 (1-step 0.00958) 632s
step 28600 loss 0.00809 (1-step 0.00809) 634s
step 28700 loss 0.01296 (1-step 0.01296) 636s
step 28800 loss 0.00510 (1-step 0.00510) 638s
step 28900 loss 0.00692 (1-step 0.00692) 641s
step 29000 loss 0.00631 (1-step 0.00631) 643s
step 29100 loss 0.00648 (1-step 0.00648) 645s
step 29200 loss 0.00908 (1-step 0.00908) 647s
step 29300 loss 0.01377 (1-step 0.01377) 649s
step 29400 loss 0.00862 (1-step 0.00862) 651s
step 29500 loss 0.00548 (1-step 0.00548) 654s
step 29600 loss 0.00598 (1-step 0.00598) 656s
step 29700 loss 0.00786 (1-step 0.00786) 658s
step 29800 loss 0.00832 (1-step 0.00832) 659s
step 29900 loss 0.00789 (1-step 0.00789) 661s
step 30000 loss 0.00963 (1-step 0.00963) 664s
  [val one-step] dv_err_mean=0.004703 dw_err_mean=0.07816 dv_err_far_free=3.793e-08 dw_err_far_free=0.002088 dv_err_near_contact=1.444e-08 dw_err_near_contact=0.01792 dv_err_first_impact=0.2565 dw_err_first_impact=2.521 dv_err_contact=0.006256 dw_err_contact=0.09943 dv_err_rebound_repeat=0.05063 dw_err_rebound_repeat=0.9137 dv_err_resting=0.001897 dw_err_resting=0.06159
[rollout val/gt] pos_err@100=8.941e-08 pos_err@500=0.06919 pos_err_final=0.3533 rot_err_deg_final=157.8 v_err_mean=0.433 w_err_mean=4.147 impact_dv_err=0.5324 impact_dw_err=5.775 apex_err=0.01496 max_penetration_pred=0.2985 artificial_energy_max=0
[rollout val/analytic] pos_err@100=8.941e-08 pos_err@500=0.06476 pos_err_final=0.1845 rot_err_deg_final=93.4 v_err_mean=0.2695 w_err_mean=2.652 impact_dv_err=0.6316 impact_dw_err=5.738 apex_err=0.01536 max_penetration_pred=0.01137 artificial_energy_max=0
[rollout test/gt] pos_err@100=1.192e-07 pos_err@500=0.07719 pos_err_final=0.4078 rot_err_deg_final=153.7 v_err_mean=0.4625 w_err_mean=4.475 impact_dv_err=0.5995 impact_dw_err=5.275 apex_err=0.01743 max_penetration_pred=0.3571 artificial_energy_max=0
[rollout test/analytic] pos_err@100=1.192e-07 pos_err@500=0.05494 pos_err_final=0.1612 rot_err_deg_final=92.86 v_err_mean=0.2526 w_err_mean=2.767 impact_dv_err=0.6228 impact_dw_err=5.154 apex_err=0.0151 max_penetration_pred=0.01202 artificial_energy_max=0
TRAIN_DONE
