NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode none --out runs/expA_pilot_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 1189 episodes in 86.2s
loaded split val: 255 episodes in 18.7s
loaded split test: 255 episodes in 4.4s
loaded split test_geometry: 301 episodes in 1.8s
transition model contact_mode=none params=618630
step 16200 loss 0.74317 (1-step 0.74317) 133s
step 16300 loss 1.26658 (1-step 1.26658) 133s
step 16400 loss 0.83258 (1-step 0.83258) 134s
step 16500 loss 0.94934 (1-step 0.94934) 135s
step 16600 loss 0.82714 (1-step 0.82714) 136s
step 16700 loss 0.86739 (1-step 0.86739) 136s
step 16800 loss 1.02781 (1-step 1.02781) 137s
step 16900 loss 0.62069 (1-step 0.62069) 138s
step 17000 loss 0.79551 (1-step 0.79551) 139s
step 17100 loss 0.64515 (1-step 0.64515) 140s
step 17200 loss 0.93047 (1-step 0.93047) 140s
step 17300 loss 1.10163 (1-step 1.10163) 141s
step 17400 loss 1.09479 (1-step 1.09479) 142s
step 17500 loss 0.65457 (1-step 0.65457) 142s
step 17600 loss 0.85748 (1-step 0.85748) 143s
step 17700 loss 0.69672 (1-step 0.69672) 144s
step 17800 loss 1.10135 (1-step 1.10135) 145s
step 17900 loss 0.84794 (1-step 0.84794) 146s
step 18000 loss 0.68518 (1-step 0.68518) 147s
step 18100 loss 1.11095 (1-step 1.11095) 148s
step 18200 loss 1.06243 (1-step 1.06243) 148s
step 18300 loss 0.83943 (1-step 0.83943) 149s
step 18400 loss 0.61036 (1-step 0.61036) 150s
step 18500 loss 1.34674 (1-step 1.34674) 151s
step 18600 loss 0.64201 (1-step 0.64201) 152s
step 18700 loss 1.01746 (1-step 1.01746) 153s
step 18800 loss 0.82816 (1-step 0.82816) 153s
step 18900 loss 0.77267 (1-step 0.77267) 154s
step 19000 loss 0.86239 (1-step 0.86239) 155s
step 19100 loss 0.67777 (1-step 0.67777) 156s
step 19200 loss 0.89369 (1-step 0.89369) 157s
step 19300 loss 0.73572 (1-step 0.73572) 158s
step 19400 loss 0.76535 (1-step 0.76535) 158s
step 19500 loss 0.78259 (1-step 0.78259) 159s
step 19600 loss 1.35119 (1-step 1.35119) 160s
step 19700 loss 0.98544 (1-step 0.98544) 161s
step 19800 loss 0.60599 (1-step 0.60599) 161s
step 19900 loss 0.58685 (1-step 0.58685) 162s
step 20000 loss 0.82436 (1-step 0.82436) 163s
