NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/fixed1a --contact-mode none --out runs/expA_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 420 episodes in 34.3s
loaded split val: 90 episodes in 7.2s
loaded split test: 90 episodes in 6.8s
loaded split test_geometry: 0 episodes in 0.0s
transition model contact_mode=none params=618630
step 17500 loss 0.44691 (1-step 0.44691) 149s
step 17600 loss 0.46537 (1-step 0.46537) 149s
step 17700 loss 0.43948 (1-step 0.43948) 150s
step 17800 loss 0.45228 (1-step 0.45228) 151s
step 17900 loss 0.37770 (1-step 0.37770) 152s
step 18000 loss 0.35543 (1-step 0.35543) 153s
step 18100 loss 0.35146 (1-step 0.35146) 154s
step 18200 loss 0.52318 (1-step 0.52318) 155s
step 18300 loss 0.30582 (1-step 0.30582) 155s
step 18400 loss 0.63730 (1-step 0.63730) 156s
step 18500 loss 0.54607 (1-step 0.54607) 157s
step 18600 loss 0.28022 (1-step 0.28022) 158s
step 18700 loss 0.39247 (1-step 0.39247) 159s
step 18800 loss 0.19676 (1-step 0.19676) 159s
step 18900 loss 0.39559 (1-step 0.39559) 160s
step 19000 loss 0.29466 (1-step 0.29466) 161s
step 19100 loss 0.46750 (1-step 0.46750) 162s
step 19200 loss 0.28678 (1-step 0.28678) 163s
step 19300 loss 0.35265 (1-step 0.35265) 164s
step 19400 loss 0.33563 (1-step 0.33563) 164s
step 19500 loss 0.40320 (1-step 0.40320) 165s
step 19600 loss 0.22901 (1-step 0.22901) 166s
step 19700 loss 0.26561 (1-step 0.26561) 167s
step 19800 loss 0.27953 (1-step 0.27953) 168s
step 19900 loss 0.28254 (1-step 0.28254) 169s
step 20000 loss 0.51384 (1-step 0.51384) 170s
  [val one-step] dv_err_mean=0.01302 dw_err_mean=0.1545 dv_err_far_free=0.0007705 dw_err_far_free=0.008946 dv_err_near_contact=0.01749 dw_err_near_contact=0.1277 dv_err_first_impact=0.6591 dw_err_first_impact=5.658 dv_err_contact=0.01232 dw_err_contact=0.1572 dv_err_rebound_repeat=0.1255 dw_err_rebound_repeat=2.008 dv_err_resting=0.00381 dw_err_resting=0.07456
step 20100 loss 0.24559 (1-step 0.24559) 171s
step 20200 loss 0.27799 (1-step 0.27799) 171s
step 20300 loss 0.24811 (1-step 0.24811) 172s
step 20400 loss 0.28907 (1-step 0.28907) 173s
step 20500 loss 0.45317 (1-step 0.45317) 174s
step 20600 loss 0.18857 (1-step 0.18857) 175s
step 20700 loss 0.36430 (1-step 0.36430) 175s
step 20800 loss 0.25147 (1-step 0.25147) 176s
step 20900 loss 0.50979 (1-step 0.50979) 177s
step 21000 loss 0.39659 (1-step 0.39659) 178s
step 21100 loss 0.28342 (1-step 0.28342) 179s
step 21200 loss 0.21218 (1-step 0.21218) 180s
step 21300 loss 0.28149 (1-step 0.28149) 181s
step 21400 loss 0.30201 (1-step 0.30201) 182s
step 21500 loss 0.31184 (1-step 0.31184) 182s
step 21600 loss 0.32686 (1-step 0.32686) 183s
step 21700 loss 0.45451 (1-step 0.45451) 184s
step 21800 loss 0.37074 (1-step 0.37074) 185s
step 21900 loss 0.25029 (1-step 0.25029) 186s
step 22000 loss 0.30900 (1-step 0.30900) 187s
step 22100 loss 0.35706 (1-step 0.35706) 188s
step 22200 loss 0.18789 (1-step 0.18789) 188s
step 22300 loss 0.29842 (1-step 0.29842) 189s
step 22400 loss 0.19041 (1-step 0.19041) 190s
step 22500 loss 0.22744 (1-step 0.22744) 191s
step 22600 loss 0.23534 (1-step 0.23534) 192s
step 22700 loss 0.29500 (1-step 0.29500) 193s
step 22800 loss 0.17908 (1-step 0.17908) 193s
step 22900 loss 0.19023 (1-step 0.19023) 194s
step 23000 loss 0.33744 (1-step 0.33744) 195s
step 23100 loss 0.19364 (1-step 0.19364) 196s
step 23200 loss 0.23804 (1-step 0.23804) 197s
step 23300 loss 0.22041 (1-step 0.22041) 198s
step 23400 loss 0.27973 (1-step 0.27973) 199s
step 23500 loss 0.20644 (1-step 0.20644) 199s
step 23600 loss 0.15243 (1-step 0.15243) 200s
step 23700 loss 0.17864 (1-step 0.17864) 201s
step 23800 loss 0.26740 (1-step 0.26740) 202s
step 23900 loss 0.39077 (1-step 0.39077) 203s
step 24000 loss 0.27441 (1-step 0.27441) 204s
step 24100 loss 0.30335 (1-step 0.30335) 204s
step 24200 loss 0.27465 (1-step 0.27465) 205s
step 24300 loss 0.25243 (1-step 0.25243) 206s
step 24400 loss 0.20564 (1-step 0.20564) 207s
step 24500 loss 0.33634 (1-step 0.33634) 208s
step 24600 loss 0.21527 (1-step 0.21527) 209s
step 24700 loss 0.19170 (1-step 0.19170) 209s
step 24800 loss 0.16006 (1-step 0.16006) 210s
step 24900 loss 0.25611 (1-step 0.25611) 211s
step 25000 loss 0.26671 (1-step 0.26671) 212s
step 25100 loss 0.24895 (1-step 0.24895) 213s
step 25200 loss 0.25615 (1-step 0.25615) 214s
step 25300 loss 0.35236 (1-step 0.35236) 214s
step 25400 loss 0.13611 (1-step 0.13611) 215s
step 25500 loss 0.24199 (1-step 0.24199) 216s
step 25600 loss 0.22004 (1-step 0.22004) 217s
step 25700 loss 0.26956 (1-step 0.26956) 218s
step 25800 loss 0.23614 (1-step 0.23614) 219s
step 25900 loss 0.25399 (1-step 0.25399) 220s
step 26000 loss 0.18313 (1-step 0.18313) 221s
step 26100 loss 0.19331 (1-step 0.19331) 221s
step 26200 loss 0.14941 (1-step 0.14941) 222s
step 26300 loss 0.21323 (1-step 0.21323) 223s
step 26400 loss 0.15383 (1-step 0.15383) 224s
step 26500 loss 0.12929 (1-step 0.12929) 225s
step 26600 loss 0.24125 (1-step 0.24125) 226s
step 26700 loss 0.22013 (1-step 0.22013) 226s
step 26800 loss 0.32981 (1-step 0.32981) 227s
step 26900 loss 0.15662 (1-step 0.15662) 228s
step 27000 loss 0.20798 (1-step 0.20798) 229s
step 27100 loss 0.19774 (1-step 0.19774) 230s
step 27200 loss 0.22535 (1-step 0.22535) 230s
step 27300 loss 0.17508 (1-step 0.17508) 231s
step 27400 loss 0.20071 (1-step 0.20071) 232s
step 27500 loss 0.13357 (1-step 0.13357) 233s
step 27600 loss 0.15997 (1-step 0.15997) 234s
step 27700 loss 0.17682 (1-step 0.17682) 235s
step 27800 loss 0.19597 (1-step 0.19597) 236s
step 27900 loss 0.17395 (1-step 0.17395) 237s
step 28000 loss 0.15718 (1-step 0.15718) 238s
step 28100 loss 0.21801 (1-step 0.21801) 238s
step 28200 loss 0.20044 (1-step 0.20044) 239s
step 28300 loss 0.13976 (1-step 0.13976) 240s
step 28400 loss 0.22188 (1-step 0.22188) 241s
step 28500 loss 0.16343 (1-step 0.16343) 242s
step 28600 loss 0.14643 (1-step 0.14643) 242s
step 28700 loss 0.22563 (1-step 0.22563) 243s
step 28800 loss 0.17133 (1-step 0.17133) 244s
step 28900 loss 0.16624 (1-step 0.16624) 245s
step 29000 loss 0.25906 (1-step 0.25906) 246s
step 29100 loss 0.20584 (1-step 0.20584) 247s
step 29200 loss 0.17081 (1-step 0.17081) 248s
step 29300 loss 0.22844 (1-step 0.22844) 248s
step 29400 loss 0.15355 (1-step 0.15355) 249s
step 29500 loss 0.14703 (1-step 0.14703) 250s
step 29600 loss 0.21117 (1-step 0.21117) 251s
step 29700 loss 0.15132 (1-step 0.15132) 252s
step 29800 loss 0.16656 (1-step 0.16656) 253s
step 29900 loss 0.30353 (1-step 0.30353) 253s
step 30000 loss 0.17521 (1-step 0.17521) 254s
  [val one-step] dv_err_mean=0.01403 dw_err_mean=0.169 dv_err_far_free=0.0006733 dw_err_far_free=0.008736 dv_err_near_contact=0.01945 dw_err_near_contact=0.1458 dv_err_first_impact=0.6515 dw_err_first_impact=5.439 dv_err_contact=0.01363 dw_err_contact=0.1848 dv_err_rebound_repeat=0.1406 dw_err_rebound_repeat=2.171 dv_err_resting=0.004023 dw_err_resting=0.07295
[rollout val/gt] pos_err@100=0.002416 pos_err@500=0.1222 pos_err_final=0.3494 rot_err_deg_final=109.4 v_err_mean=0.4931 w_err_mean=4.51 impact_dv_err=3.178 impact_dw_err=15.46 apex_err=0.01417 max_penetration_pred=0.04875 artificial_energy_max=0.09192
[rollout test/gt] pos_err@100=0.002378 pos_err@500=0.09708 pos_err_final=0.3362 rot_err_deg_final=114.4 v_err_mean=0.5077 w_err_mean=4.388 impact_dv_err=3.414 impact_dw_err=16.26 apex_err=0.0218 max_penetration_pred=0.05209 artificial_energy_max=0.242
TRAIN_DONE
